sensor_id,sensor_type,location,lat,lon,timestamp,value_type,value
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P2,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P1,3
4976,pms5003,76,-1.261,36.782,2026-05-01T00:51:13+00:00,P0,1
4977,DHT22,76,-1.261,36.782,2026-05-01T00:51:15+00:00,humidity,99.9
4977,DHT22,76,-1.261,36.782,2026-05-01T00:51:15+00:00,temperature,17.4
4977,DHT22,76,-1.261,36.782,2026-05-01T00:51:15+00:00,humidity,99.9
4977,DHT22,76,-1.261,36.782,2026-05-01T00:51:15+00:00,temperature,17.4
4977,DHT22,76,-1.261,36.782,2026-05-01T00:51:15+00:00,humidity,99.9
4977,DHT22,76,-1.261,36.782,2026-05-01T00:51:15+00:00,temperature,17.4
