location,timestamp,P0,P1,P2,humidity,temperature
76,2026-01-07 13:00:00+00:00,6.6,11.5,10.3,40.07,32.7
76,2026-01-07 14:00:00+00:00,7.444444444444445,14.666666666666666,12.777777777777779,43.33,29.689999999999998
76,2026-01-07 15:00:00+00:00,8.588235294117647,15.0,12.882352941176471,52.89411764705883,24.329411764705885
76,2026-01-07 16:00:00+00:00,11.25,18.65,16.55,58.904999999999994,22.759999999999998
76,2026-01-07 17:00:00+00:00,14.95,26.25,23.4,64.53,21.535
76,2026-01-07 18:00:00+00:00,15.105263157894736,26.94736842105263,23.894736842105264,67.67368421052632,20.678947368421053
76,2026-01-07 19:00:00+00:00,16.1,28.8,24.6,70.545,19.81
76,2026-01-07 20:00:00+00:00,8.95,16.35,13.8,67.44,19.57
76,2026-01-07 21:00:00+00:00,6.0,11.3,9.85,65.41,19.41
76,2026-01-07 22:00:00+00:00,7.45,14.2,12.45,65.775,19.085
76,2026-01-07 23:00:00+00:00,5.055555555555555,9.38888888888889,8.222222222222221,66.47222222222223,18.77777777777778
76,2026-01-08 00:00:00+00:00,5.238095238095238,10.0,8.904761904761905,68.41904761904762,18.03333333333333
76,2026-01-08 01:00:00+00:00,5.625,10.8125,9.25,69.65625,17.59375
76,2026-01-08 02:00:00+00:00,12.1875,20.8125,18.75,71.56875,17.075
76,2026-01-08 03:00:00+00:00,19.416666666666668,33.0,28.75,77.55,16.091666666666665
76,2026-01-08 04:00:00+00:00,25.0,42.166666666666664,36.666666666666664,75.5,17.05
76,2026-01-08 07:00:00+00:00,11.571428571428571,23.571428571428573,18.857142857142858,57.41428571428571,22.47142857142857
76,2026-01-08 08:00:00+00:00,8.0,14.9,12.7,53.720000000000006,23.79
76,2026-01-08 09:00:00+00:00,5.4,9.6,8.5,52.029999999999994,25.15
76,2026-01-08 10:00:00+00:00,5.909090909090909,12.727272727272727,10.727272727272727,51.36363636363637,26.145454545454548
76,2026-01-08 11:00:00+00:00,6.8,11.2,10.2,45.73,27.93
76,2026-01-08 12:00:00+00:00,6.7,11.1,10.1,41.72,29.26
76,2026-01-08 13:00:00+00:00,10.181818181818182,17.545454545454547,15.909090909090908,41.67272727272727,28.80909090909091
76,2026-01-08 14:00:00+00:00,9.333333333333334,14.0,13.0,40.9,29.8
76,2026-01-08 15:00:00+00:00,9.75,16.1875,14.6875,51.53888888888889,24.061111111111114
76,2026-01-08 16:00:00+00:00,8.666666666666666,14.714285714285714,13.333333333333334,55.857142857142854,22.79047619047619
76,2026-01-08 17:00:00+00:00,9.35,16.05,14.0,57.915,21.73
76,2026-01-08 18:00:00+00:00,13.285714285714286,23.476190476190474,20.428571428571427,60.4952380952381,20.938095238095237
76,2026-01-08 19:00:00+00:00,16.1,26.5,24.2,63.825,19.955000000000002
76,2026-01-08 20:00:00+00:00,16.19047619047619,27.047619047619047,24.523809523809526,63.976190476190474,19.333333333333332
76,2026-01-08 21:00:00+00:00,12.761904761904763,23.80952380952381,21.19047619047619,65.43809523809524,18.752380952380953
76,2026-01-08 22:00:00+00:00,16.1,29.95,26.6,65.97999999999999,18.43
76,2026-01-08 23:00:00+00:00,14.45,27.55,23.65,67.405,18.080000000000002
76,2026-01-09 00:00:00+00:00,12.714285714285714,22.142857142857142,20.285714285714285,70.03333333333333,17.45714285714286
76,2026-01-09 01:00:00+00:00,7.809523809523809,13.19047619047619,12.095238095238095,70.48095238095237,17.138095238095236
76,2026-01-09 02:00:00+00:00,12.35,21.15,19.15,70.91499999999999,16.825
76,2026-01-09 03:00:00+00:00,19.375,31.375,27.5625,76.45,15.925
76,2026-01-09 04:00:00+00:00,20.8,34.666666666666664,30.4,63.919999999999995,19.453333333333333
76,2026-01-09 05:00:00+00:00,12.3,19.1,17.4,46.7,27.52
76,2026-01-09 06:00:00+00:00,9.0,15.333333333333334,14.5,38.6,32.266666666666666
76,2026-01-09 10:00:00+00:00,8.0,13.5,11.5,53.35,25.95
76,2026-01-09 11:00:00+00:00,6.181818181818182,12.090909090909092,10.727272727272727,49.790909090909096,27.463636363636365
76,2026-01-09 12:00:00+00:00,7.8,14.1,12.2,44.769999999999996,30.2
76,2026-01-09 13:00:00+00:00,7.7,13.0,12.2,45.79,29.03
76,2026-01-09 14:00:00+00:00,8.0,12.5,11.25,46.625,29.0
76,2026-01-09 15:00:00+00:00,8.923076923076923,14.76923076923077,13.153846153846153,53.107142857142854,23.607142857142858
76,2026-01-09 16:00:00+00:00,9.761904761904763,17.238095238095237,15.238095238095237,55.825,22.585
76,2026-01-09 17:00:00+00:00,11.142857142857142,21.238095238095237,18.61904761904762,58.18181818181818,21.94090909090909
76,2026-01-09 18:00:00+00:00,9.2,17.2,15.55,64.025,21.15
76,2026-01-09 19:00:00+00:00,7.473684210526316,14.105263157894736,12.263157894736842,66.40526315789474,20.25263157894737
76,2026-01-09 20:00:00+00:00,7.5,15.15,12.85,67.67999999999999,19.955
76,2026-01-09 21:00:00+00:00,9.65,17.75,15.35,69.035,19.69
76,2026-01-09 22:00:00+00:00,10.952380952380953,19.666666666666668,17.333333333333332,69.9095238095238,19.295238095238094
76,2026-01-09 23:00:00+00:00,8.842105263157896,16.473684210526315,14.421052631578947,71.38947368421053,18.857894736842105
76,2026-01-10 00:00:00+00:00,8.1,17.0,14.15,75.47999999999999,17.98
76,2026-01-10 01:00:00+00:00,8.38888888888889,17.444444444444443,15.166666666666666,79.03888888888889,17.344444444444445
76,2026-01-10 02:00:00+00:00,12.0,23.6875,20.4375,82.68125,16.80625
76,2026-01-10 03:00:00+00:00,19.636363636363637,35.63636363636363,30.636363636363637,90.54545454545455,15.92727272727273
